Date,SP,Marker,Nests,Left Tag,Rigth Tag,Nº Nido,NORTE ,ESTE,,,
2020-10-20,Ei,Cate & Alex,N,,,DB154Ei,,,,,
2020-10-22,Ei,Gundula,N,,,DB155Ei,9.43142,-82.30420,,,
2020-10-24,Ei,1,N,,,DB156Ei,9.42893,-82.31905,,,
2021-04-24,Ei,3,N,,,DB001 Ei,9.42855,-82.31776,,,
2021-05-06,Ei,8,N,,,DB002 Ei,9.42798,-82.31248,,,
2021-05-08,Ei,4,N,,,DB003 Ei,9.42840,-82.31676,,,
2021-05-18,Ei,4,N,,,DB004 Ei,9.42832,-82.31660,,,
2021-05-18,Ei,1,N,,,DB005 Ei,9.42886,-82.31924,,,
2021-05-18,Ei,1,N,,,DB006 Ei,9.42879,-82.31921,,,
2021-05-27,Ei,Gundula,N,,,DB007 Ei,9.43151,-82.30392,,,
2021-05-27,Ei,4,N,,,DB008 Ei,9.42861,-82.31843,,,
2021-05-29,Ei,2,N,CH11703,CH11704,DB009 Ei,9.42832,-82.31647,,,
2021-05-29,Ei,3,N,,,DB010 Ei,9.42838,-82.31728,,,
2021-05-30,Ei,1,N,CH11705,CH11706,DB011 Ei,9.42874,-82.31239,,,
2021-05-30,Ei,8,N,,,DB012 Ei,9.42798,-82.31239,,,
2021-06-01,Ei,3,N,,,DB013 Ei,9.42843,-82.31736,,,
2021-06-01,Ei,Gundula,N,,,DB014 Ei,9.43162,-82.30332,,,
2021-06-01,Ei,Gundula,N,,,DB015 Ei,9.43165,-82.30338,,,
2021-06-01,Ei,9,N,,,DB016 Ei,9.42793,-82.31203,,,
2021-06-02,Ei,1,N,CH11726,CH11728,DB017 Ei,9.42892,-82.31926,,,
2021-06-02,Ei,Kate&Alex,N,,,DB018 Ei,9.43226,-82.30117,,,
2021-06-03,Ei,3,N,CH11729,CH11730,DB019 Ei,9.42844,-82.31742,,,
2021-06-07,Ei,2,N,,,DB020 Ei,9.42864,-82.31857,,,
2021-06-08,Ei,1,N,,,DB021 Ei,9.42878,-82.31920,,,
2021-06-10,Ei,8,N,CH11732,CH11734,DB022 Ei,9.92812,-82.31322,,,
2021-06-12,Ei,13,N,,,DB023 Ei,9.42822,-82.30831,,,
2021-06-14,Ei,1,N,CH11735,CH11736,DB024 Ei,9.42895,-82.30193,,,
2021-06-15,Ei,9,N,,,DB025 Ei,9.42795,-82.31153,,,
2021-06-15,Ei,12,N,,,DB026 Ei,9.42819,-82.30875,,,
2021-06-16,Ei,2,N,CH11738,CH11739,DB027 Ei,9.42863,-82.31842,,,
2021-06-17,Ei,10,N,,,DB028 Ei,9.42794,-82.31117,,,
2021-06-17,Ei,Kate&Alex,N,,,DB029 Ei,9.43227,-82.30119,,,
2021-06-18,Ei,Gundula,N,,,DB030 Ei,9.43168,-82.30296,,,
2021-06-19,Ei,Gundula,N,,,DB032 Ei,9.43169,-82.30291,,,
2021-06-19,Ei,Gundula,N,,,DB031 Ei,9.43162,-82.30331,,,
2021-06-19,Ei,1,N,,,DB033 Ei,9.42902,-82.31951,,,
2021-06-21,Ei,16,N,,,DB034 Ei,9.42981,-82.30611,,,
2021-06-21,Ei,2,N,,,DB035 Ei,9.42859,-82.31833,,,
2021-06-21,Ei,1,N,,,DB036 Ei,9.42881,-82.31929,,,
2021-06-22,Ei,Gundula,N,,,DB037 Ei,9.43160,-82.30327,,,
2021-06-22,Ei,2,N,,,DB038 Ei,9.42819,-82.30824,,,
2021-06-23,Ei,13,N,,,DB039 Ei,---,---,,,
2021-06-24,Ei,4,N,,,DB040 Ei,9.42862,-82.31662,,,
2021-06-26,Ei,10,N,,,DB041 Ei,9.42792,-82.31079,,,
2021-06-27,Ei,10,N,,,DB042 Ei,9.42789,-82.31084,,,
2021-06-29,Ei,Gundula,N,,,DB043Ei,9.43162,-82.30330,,,
2021-06-29,Ei,12,N,,,DB044 Ei,9.42808,-82.30917,,,
2021-06-29,Ei,5,N,,,DB045 Ei,9.42829,-82.31555,,,
2021-07-01,Ei,11,N,,,DB046 Ei,9.42789,-82.31033,,,
2021-07-02,Ei,Gundula,N,,,DB047Ei,9.43156,-82.30371,,,
2021-07-03,Ei,4,N,,,DB048Ei,9.42830,-82.31623,,,
2021-07-04,Ei,Gundula,N,,,DB050Ei,---,---,,,
2021-07-05,Ei,Gundula,N,,,DB049Ei,9.43167,-82.30292,,,
2021-07-05,Ei,1,N,,,DB051Ei,9.42900,-82.31948,,,
2021-07-06,Ei,1,N,,,DB052Ei,9.42899,-82.31948,,,
2021-07-06,Ei,11,N,,,DB053Ei,9.42791,-82.31010,,,
2021-07-07,Ei,13,N,,,DB054Ei,9.42819,-82.30825,,,
